일자,지수,대비,기관,외국인,개인,기타,금융투자,보험,투신,사모,은행,기타금융,연기금 등,국가,외인-기타,외국인합,기타법인,합계
2020-08-07,"1,918.82",1.87,"-13,050","3,457","15,243","-3,720",943,-86,"-1,707","-5,391","-2,808",-491,"-3,510",0,"-1,930","1,527","-3,720",0
2020-08-06,"1,916.95",5.36,"-14,504","9,708","12,193","-4,290",593,721,"-3,605","-2,600","-1,386",-420,"-7,808",0,"-3,107","6,601","-4,290",0
2020-08-05,"1,911.59",10.64,"-10,573","-31,185","50,765","-5,522",185,"-2,324",-62,244,-559,120,"-8,177",0,"-3,485","-34,670","-5,522",0
2020-08-04,"1,900.95",34.53,"-7,962","55,092","-41,405","-4,031","-1,281",-845,"-1,539","-2,460",-20,-2,"-1,816",0,"-1,695","53,397","-4,031",0
2020-08-03,"1,866.42",3.75,"-5,647","-6,172","16,793","-4,805","-3,892",575,683,"-3,994",1,129,850,0,-169,"-6,341","-4,805",0
2020-07-31,"1,862.67",-0.52,"-2,233","-4,689","10,501","-4,505","-2,161",27,431,-768,"-1,173",-171,"1,582",0,926,"-3,763","-4,505",0
2020-07-30,"1,863.19",-0.65,"-9,009","-7,923","21,301","-4,769","-1,510",545,"-2,194","-3,117","-1,087",35,"-1,680",0,401,"-7,523","-4,769",0
2020-07-29,"1,863.84",11.46,"-8,459",-645,"13,365","-3,780","-2,477",-401,"-1,298","-2,228",-271,-470,"-1,315",0,-481,"-1,127","-3,780",0
2020-07-28,"1,852.38",-6.72,"-3,536","-14,137","16,901",161,"-1,492","1,322",213,"-1,292",-648,-492,"-1,147",0,611,"-13,526",161,0
2020-07-27,"1,859.10",15.47,"1,709",-597,"6,616","-4,987",895,153,-900,"-1,748","-1,314",-14,"4,637",0,"-2,741","-3,338","-4,987",0
2020-07-24,"1,843.63",-5.97,"-26,526",-756,"30,199","-5,451","1,862","-4,283","-6,922","-17,640",-938,-221,"1,616",0,"2,534","1,778","-5,451",0
2020-07-23,"1,849.60",5.1,"11,533","-19,459","19,126","-10,702","3,430",-215,-300,"-2,169",-489,175,"11,101",0,-498,"-19,957","-10,702",0
2020-07-22,"1,844.50",13.53,"-13,784","12,241","15,116","-13,542","-2,585",-986,"-4,150","-3,696",-99,-46,"-2,224",0,-32,"12,210","-13,542",0
2020-07-21,"1,830.97",15.87,"-7,169","9,309","3,107","-5,749","-2,702","1,719",-740,-736,-281,-42,"-4,387",0,502,"9,811","-5,749",0
2020-07-20,"1,815.10",-2.92,"-9,043","5,999","12,545","-9,195",-144,-37,"-2,331","-1,400",-566,-301,"-4,265",0,-306,"5,694","-9,195",0
2020-07-17,"1,818.02",10.05,"-3,633","-7,228","23,589","-13,263",-108,917,"-2,574",-18,-354,-14,"-1,481",0,534,"-6,694","-13,263",0
2020-07-16,"1,807.97",-0.7,"-2,395","-16,671","20,904","-1,621",467,953,-221,591,-296,"-1,083","-2,807",0,-218,"-16,889","-1,621",0
2020-07-15,"1,808.67",14.91,"-4,164","8,535","-4,337",507,743,579,"-1,969","-1,552",-16,"-1,124",-826,0,-540,"7,995",507,0
2020-07-14,"1,793.76",2.03,"-6,155","-22,678","29,297",-338,"-1,643",-516,"-1,958","-1,884",136,222,-511,0,-126,"-22,804",-338,0
2020-07-13,"1,791.73",21.66,"-3,797","13,979","-9,670",-76,-193,-26,"1,370","-1,241",-726,-142,"-2,839",0,-436,"13,543",-76,0
2020-07-10,"1,770.07",-11.85,"1,788","-16,114","14,550",217,"1,224","-1,182",-438,326,-248,30,"2,076",0,-440,"-16,555",217,0
2020-07-09,"1,781.92",8.76,"7,835","11,492",681,"-20,513","1,663",961,-521,-529,459,-86,"5,888",0,504,"11,996","-20,513",0
2020-07-08,"1,773.16",5.13,"-8,862","-2,539","13,869","-1,960","-5,442",201,"-3,344",-853,134,889,-446,0,-508,"-3,047","-1,960",0
2020-07-07,"1,768.03",-4.36,835,"-13,915","18,004","-4,624","4,739",634,"-2,193","-2,926",226,-727,"1,083",0,-301,"-14,216","-4,624",0
2020-07-06,"1,772.39",16.84,"-7,408","-7,340","11,746","2,423",-254,-638,"-3,922",-715,-131,471,"-2,219",0,579,"-6,761","2,423",0
2020-07-03,"1,755.55",15.88,437,-237,950,252,"4,153","-1,464",-776,-660,134,24,-975,0,"-1,402","-1,639",252,0
2020-07-02,"1,739.67",22.14,"3,102","9,048","-14,545",905,806,177,-183,"-1,024",-29,27,"3,328",0,"1,490","10,539",905,0
2020-07-01,"1,717.53",-7.56,"-14,240","-1,816","11,954","4,149","-1,181",805,"-4,107","-2,735",-456,-916,"-5,650",0,-46,"-1,863","4,149",0
