일자,지수,대비,기관,외국인,개인,기타,금융투자,보험,투신,사모,은행,기타금융,연기금 등,국가,외인-기타,외국인합,기타법인,합계
2020-07-28,"2,354.79",0.16,"-38,675","16,978","17,813","5,110","-8,687","-10,242","-10,486","3,205",182,-247,"-12,399",0,"-1,226","15,752","5,110",0
2020-07-27,"2,354.63",1.16,"-15,716","-40,509","54,191","2,566","-5,318",-838,"5,188","-5,533","-3,499",32,"-5,748",0,-532,"-41,041","2,566",0
2020-07-24,"2,353.47",-16.97,"-35,322","9,431","26,142","-1,131","-14,905","-11,704","-6,614","-4,449","-1,093",-440,"3,882",0,880,"10,311","-1,131",0
2020-07-23,"2,370.44",-2.28,"-99,561","-22,388","122,684","1,342","-57,793",-881,"-26,297","-26,495","-2,574","1,151","13,329",0,"-2,077","-24,464","1,342",0
2020-07-22,"2,372.72",36.05,"-103,035","27,769","81,620","-6,881","-24,936","-7,617","-20,481","-11,052",917,5,"-39,871",0,527,"28,296","-6,881",0
2020-07-21,"2,336.67",46.98,"-51,389","-11,349","73,959","-11,622","1,671","-11,467","-19,126","-7,881",-39,-316,"-14,232",0,401,"-10,948","-11,622",0
2020-07-20,"2,289.69",44.83,"-50,769","23,095","35,026","-7,963","-11,658","-5,469","-14,168","-4,636",87,118,"-15,043",0,611,"23,706","-7,963",0
2020-07-17,"2,244.86",13.99,"-13,972","-24,905","38,474","1,444","-4,606",192,"-1,553","-5,756","1,288",-733,"-2,804",0,"-1,041","-25,946","1,444",0
2020-07-16,"2,230.87",-1.12,"-13,117","31,978","-22,039","3,820","-2,935","-1,428",-818,351,"1,338",34,"-9,659",0,-642,"31,336","3,820",0
2020-07-15,"2,231.99",13.25,"-10,626","1,348","10,675",904,"28,325","-12,763","-9,015","-4,546","1,179",-184,"-13,622",0,"-2,301",-952,904,0
2020-07-14,"2,218.74",1.54,"-19,884","-4,736","49,793","-23,767","-17,161",-106,"-3,924","-9,512",-284,"-1,412","12,515",0,"-1,407","-6,142","-23,767",0
2020-07-13,"2,217.20",55.31,"-9,339","-10,383","22,990","-3,358","-7,058","5,297",798,"-1,130",865,187,"-8,298",0,90,"-10,293","-3,358",0
2020-07-10,"2,161.89",-15.19,"-33,391","1,327","25,832","6,665","-26,533","1,384","-7,575","-4,994",305,366,"3,656",0,-433,894,"6,665",0
2020-07-09,"2,177.08",14.14,"16,622","21,488","-25,947","-12,380","-10,700","7,378","14,356","-3,495",244,"-1,634","10,473",0,217,"21,705","-12,380",0
2020-07-08,"2,162.94",6.85,"4,038","-4,381","8,045","-6,927",241,"2,706","1,931","-8,732",-251,-745,"8,888",0,-775,"-5,156","-6,927",0
2020-07-07,"2,156.09",-13.95,"-52,249","-32,378","97,420","-12,913","-6,600",-943,"-20,275","-13,286",108,"-1,766","-9,488",0,120,"-32,258","-12,913",0
